# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_cifar10_model&mode=list
# pre-trained model: ema-cifar10-model-790000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
 698	0.007166	0.00129753
 699	0.007065	0.00127873
 700	0.006966	0.00125874
 701	0.006868	0.00124604
 702	0.006772	0.00124012
 703	0.006676	0.00122149
 704	0.006582	0.00120732
 705	0.006489	0.00118965
 706	0.006397	0.00117452
 707	0.006307	0.00116368
 708	0.006217	0.00114913
 709	0.006129	0.00113528
 710	0.006042	0.00112104
 711	0.005956	0.00111187
 712	0.005871	0.00110366
 713	0.005787	0.00108684
 714	0.005704	0.00107783
 715	0.005623	0.00106703
 716	0.005542	0.00104819
 717	0.005462	0.00103611
 718	0.005384	0.00102680
 719	0.005306	0.00101120
 720	0.005230	0.00100492
 721	0.005154	0.00098697
 722	0.005080	0.00097763
 723	0.005006	0.00096383
 724	0.004933	0.00095414
 725	0.004862	0.00094084
 726	0.004791	0.00093436
 727	0.004721	0.00091748
 728	0.004652	0.00090884
 729	0.004585	0.00089915
 730	0.004518	0.00088746
 731	0.004451	0.00087352
 732	0.004386	0.00086122
 733	0.004322	0.00085404
 734	0.004258	0.00084015
 735	0.004195	0.00083006
 736	0.004134	0.00082532
 737	0.004073	0.00081083
 738	0.004012	0.00080055
 739	0.003953	0.00078935
 740	0.003894	0.00078539
 741	0.003837	0.00076728
 742	0.003780	0.00076271
 743	0.003723	0.00075174
 744	0.003668	0.00074372
 745	0.003613	0.00073402
 746	0.003559	0.00072602
 747	0.003506	0.00071747
 748	0.003453	0.00070731
 749	0.003402	0.00069673
 750	0.003351	0.00068958
 751	0.003300	0.00067535
 752	0.003250	0.00067053
 753	0.003201	0.00066088
 754	0.003153	0.00065170
 755	0.003105	0.00064300
 756	0.003058	0.00063478
 757	0.003012	0.00062862
 758	0.002966	0.00061896
 759	0.002921	0.00060994
 760	0.002877	0.00060354
 761	0.002833	0.00059582
 762	0.002790	0.00059027
 763	0.002747	0.00058095
 764	0.002705	0.00057587
 765	0.002664	0.00056644
 766	0.002623	0.00055998
 767	0.002582	0.00055110
 768	0.002543	0.00054447
 769	0.002504	0.00053654
 770	0.002465	0.00052920
